Numer pytania,Pytanie,Odpowiedź A,Odpowiedź B,Odpowiedź C,Pytanie ENG,Odpowiedź ENG A,Odpowiedź ENG B,Odpowiedź ENG C,Pytanie DE,Odpowiedź DE A,Odpowiedź DE B,Odpowiedź DE C,Poprawna odp,Media,Zakres struktury,Liczba punktów,Kategorie,Nazwa bloku,Nazwa media tłumaczenie migowe (PJM) treść pyt,Nazwa media tłumaczenie migowe (PJM) treść odp A,Nazwa media tłumaczenie migowe (PJM) treść odp B,Nazwa media tłumaczenie migowe (PJM) treść odp C,Nazwa media tłumaczenie migowe (SJM) treść pyt,Nazwa media tłumaczenie migowe (SJM) treść odp A,Nazwa media tłumaczenie migowe (SJM) treść odp B,Nazwa media tłumaczenie migowe (SJM) treść odp C
99,Czy w tej sytuacji masz obowiązek zatrzymać pojazd?,,,,Are you obliged to stop the vehicle in the presented situation?,,,,"Bist du in der dargestellten Situation dazu verpflichtet, das Fahrzeug anzuhalten?",,,,T,AK_D05_06_org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W16,,,,,,,,
100,Czy w tej sytuacji masz obowiązek zatrzymać pojazd?,,,,Are you obliged to stop the vehicle in the presented situation?,,,,"Sind Sie in der dargestellten Situation dazu verpflichtet, das Fahrzeug anzuhalten?",,,,T,AK_D10_30_org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W16,pjm100.wmv,,,,,,,
109,Czy w przedstawionej sytuacji masz prawo kontynuować jazdę?,,,,Can you continue driving in this situation?,,,,Darfst du in der dargestellten Situation die Fahrt fortsetzen?,,,,N,AK_D11_43org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W9,pjm109.wmv,,,,,,,
110,Czy w przedstawionej sytuacji masz prawo - mimo podawanego sygnału - skręcić w prawo?,,,,Are you allowed in this situation to turn right despite the light displayed?,,,,Darfst du in der dargestellten Situation - trotz des gegebenen Signals - rechts abbiegen?,,,,N,AK_D11_45org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W9,,,,,,,,
290,Jaką odległość należy zachować między jadącymi kolumnami samochodów ciężarowych?,Nie mniejszą niż 800 metrów.,Nie mniejszą niż 500 metrów.,Nie mniejszą niż 200 metrów.,What should be the safe following distance between columns of lorries?,Not less than 800 metres.,Not less than 500 metres.,Not less than 200 metres.,"Wie groß soll der Abstand sein, der zwischen den fahrenden LKW- Kolonnen, die Straßentransport für eigenen Bedarf ausführen, zu halten ist?",Nicht kleiner als 800 meter.,Nicht kleiner als 500 meter.,Nicht kleiner als 200 meter.,B,,SPECJALISTYCZNY,3,C,C4,,,,,,,,
293,"Kierujesz samochodem ciężarowym. Który z wymienionych czynników jesteś zobowiązany uwzględnić, aby zachować bezpieczny odstęp od poprzedzającego pojazdu?",Prędkość pojazdów.,Moc silnika.,Szerokość pojazdów.,You are driving a lorry. Which of the following factors should you take into account to keep a safe distance from the vehicle in front?,Speed of the vehicles.,Power of the engine.,Width of the vehicles.,"Sie fahren einen LKW. Welchen der genannten Faktoren haben Sie zu berücksichtigen, damit ein sicherer Abstand zu dem vorausfahrenden Fahrzeug gehalten wird?",Die Geschwindigkeit der Fahrzeuge.,Die Motorleistung.,Die Breite der Fahrzeuge.,A,,SPECJALISTYCZNY,3,C,C4,,,,,,,,
352,Czy na jezdni oznaczonej tym znakiem wolno Ci zawrócić?,,,,Are you allowed to make a U-turn on a roadway with this sign?,,,,Darfst du auf der mit diesem Zeichen gekennzeichneten Fahrbahn wenden?,,,,N,IMG_4251orgbm.jpg,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W3,pjm352.wmv,,,,,,,
469,"Czy w tej sytuacji powinieneś oczekiwać, że następnym sygnałem będzie światło zielone?",,,,"In the presented situation, should you expect that the next light will be green?",,,,"Soll man in der dargestellten Situation erwarten, dass als nächstes Signal das grüne Licht kommt?",,,,T,3106D15_a_org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W5,pjm469.wmv,,,,,,,
475,Czy w tej sytuacji wolno Ci skręcić w prawo bez zatrzymania się przed sygnalizatorem?,,,,In the presented situation are you allowed to turn right without stopping before the traffic lights?,,,,"Darf man in der dargestellten Situation rechts abbiegen, ohne vor der Ampel angehalten zu haben?",,,,N,0118D14MM_a_org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W5,pjm475.wmv,,,,,,,
477,Czy w tej sytuacji sygnał świetlny nadawany dla Twojego pasa ruchu zezwala Ci na zawracanie?,,,,Does the light signal for you lane allow for making a U-turn in this situation?,,,,"Erlaubt in der dargestellten Situation das Lichtsignal, das für Ihre Fahrspur gesendet wird, zu wenden?",,,,N,2064D14MM_a_org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W5,pjm477.wmv,,,,,,,
478,"Czy w tej sytuacji nadawany sygnał świetlny oznacza, że podczas jazdy w prawo nie występuje kolizja z innymi uczestnikami ruchu?",,,,Does the traffic light displayed in this situation denote that when turning right there is no collision with other road users?,,,,"Bedeutet das in der dargestellten Situation gegebene Leuchtsignal, dass es bei der Fahrt nach rechts keine Gefahr mehr gibt, mit anderen Verkehrsteilnehmern zu kollidieren?",,,,T,066D16_a_org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W5,pjm478.wmv,,,,,,,
480,Czy w tej sytuacji nadawany sygnał świetlny zezwala Ci na wjazd za sygnalizator?,,,,Does the traffic light displayed in this situation allow you to drive beyond the traffic light post?,,,,Erlaubt das gegebene Leuchtsignal die Weiterfahrt hinter der Ampel?,,,,N,IMG_0325_9550d5_a_org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W5,pjm480.wmv,,,,,,,
